,0
1290,7628027
1291,8849944
1292,9808274
1293,7027581
1294,6962630
1295,7735068
1296,7407529
1297,6536031
1298,8754034
1299,5013380
1300,8629655
1301,9013930
1302,5131446
1303,6042959
1304,5779014
1305,6216544
1306,7064157
1307,6740203
1308,5862225
1309,9006323
1310,5449368
1311,8625399
1312,7569645
1313,5545983
1314,9305482
1315,5280965
1316,5295663
1317,7993472
1318,5645683
1319,5460761
1320,5182263
1321,7222154
1322,6332405
1323,8282946
1324,7467955
1325,7076290
1326,6046976
1327,5667286
1328,6625497
1329,8703278
1330,9805208
1331,6459801
1332,8994448
1333,6672772
1334,5486797
1335,7409551
1336,6354504
1337,6826860
1338,7378260
1339,9399524
1340,6519309
1341,5235608
1342,8739038
1343,9448552
1344,7336430
1345,9338053
1346,6405286
1347,8283386
1348,6977177
1349,6776395
1350,8902514
1351,8115730
1352,9257632
1353,6981006
1354,7283640
1355,6791974
1356,6963620
1357,9047507
1358,5095596
1359,6391835
1360,7986288
1361,7732060
1362,7748352
1363,9307920
1364,8553374
1365,5073040
1366,8839723
1367,8215167
1368,6463692
1369,9068948
1370,6586977
1371,6532691
1372,7483767
1373,7465845
1374,8097499
1375,9304245
1376,5422743
1377,9991882
1378,7340865
1379,9344905
1380,5182312
1381,6702717
1382,8781590
1383,8757168
1384,5478303
1385,8652205
1386,7279713
1387,8368161
1388,5880816
1389,8263275
1390,7909924
1391,5912188
1392,5841251
1393,7479100
1394,6386672
1395,5172581
1396,7761702
1397,5180848
1398,5714573
1399,5545085
1400,6970051
1401,6881063
1402,9951525
1403,5052283
1404,9356750
1405,8763874
1406,9163332
1407,5412310
1408,9824879
1409,8100136
1410,6026179
1411,9536333
1412,6483075
1413,9555949
1414,7693318
1415,8455163
1416,6996439
1417,6770952
1418,9735973
1419,7900190
1420,5096344
1421,5968687
1422,8066545
1423,9800329
1424,7930423
1425,8390130
1426,7565674
1427,8603680
1428,8080212
1429,6750467
1430,7436411
1431,8216378
1432,6472383
1433,9263124
1434,9052564
1435,9433107
1436,6297110
1437,9187800
1438,9867159
1439,6730970
1440,7544854
1441,5134536
1442,8917387
1443,6651476
