,Unnamed: 0.1,user_id,num_revs,nationality,group,age
3306,4915,7449415,6,Malta,,not specified
3307,4916,6147055,1,France,,not specified
3308,4917,9438535,1,Italy,,not specified
3309,4918,9918211,3,Australia,,not specified
3310,4919,7854631,4,Australia,Couple,31-40
3311,4921,5097045,1,USA,,not specified
3312,4922,8233652,4,USA,Female,25-30
3313,4923,9874387,1,Ireland,Male,18-24
3314,4924,7913831,1,Germany,,not specified
3315,4926,7156271,4,USA,,not specified
3316,4928,8518768,1,Malaysia,Couple,31-40
3317,4929,9798952,7,Argentina,SOLO,31-40
3318,4931,8030709,1,Brazil,,not specified
3319,4932,6145228,3,Wales,,not specified
3320,4933,6762901,2,Finland,All Male Group,18-24
3321,4934,5465160,2,USA,,not specified
3322,4935,6032073,2,Singapore,,not specified
3323,4936,7978627,3,Switzerland,,not specified
3324,4939,9903273,1,USA,,not specified
3325,4940,8822337,1,USA,,not specified
3326,4942,9060335,1,Scotland,Female,31-40
3327,4943,7731612,4,Canada,Male,18-24
3328,4944,9480071,2,England,Male,25-30
3329,4946,5228759,1,Austria,,not specified
3330,4947,6327562,1,Germany,,not specified
3331,4948,7090825,1,Scotland,,not specified
3332,4949,8440012,3,Australia,,not specified
3333,4950,5278082,1,Canada,,not specified
3334,4951,8845374,1,Brazil,Male,18-24
3335,4953,5735730,4,Argentina,Male,25-30
3336,4954,8463657,1,Hungary,Female,18-24
3337,4955,5466215,1,Germany,,not specified
3338,4956,5874338,1,USA,,not specified
3339,4958,9514274,1,Poland,Male,25-30
3340,4959,5708026,6,Austria,Couple,31-40
3341,4960,8186049,1,Germany,,not specified
3342,4961,9245846,5,Brazil,Couple,25-30
3343,4963,7417253,2,England,Male,18-24
3344,4964,9901868,1,China,,not specified
3345,4965,7783457,1,USA,,not specified
3346,4970,9159016,1,Israel,,not specified
3347,4971,8207810,2,France,,not specified
3348,4974,7136516,7,USA,,not specified
3349,4975,5279756,2,Australia,,not specified
3350,4976,9881957,1,Germany,Female,31-40
3351,4977,6273363,1,Ireland,Male,31-40
3352,4979,5142369,3,Latvia,,not specified
3353,4980,8757779,1,Ireland,Male,18-24
3354,4983,6529910,1,Brazil,,not specified
3355,4984,6945088,3,Chile,Male,25-30
3356,4985,9787626,1,India,,not specified
3357,4986,8045367,4,Ecuador,Female,25-30
3358,4987,9150416,1,Ireland,,not specified
3359,4988,5642955,1,Ireland,Female,25-30
3360,4990,5568422,2,USA,,not specified
3361,4991,5591148,2,USA,,not specified
3362,4995,6256599,1,Ireland,,not specified
3363,4996,8037117,1,USA,Mixed Group,25-30
3364,4998,8500976,17,Ireland,All Female Group,18-24
3365,4999,5681960,1,USA,Male,41+
3366,5000,7702255,2,Australia,,not specified
3367,5001,7855047,2,Germany,Female,25-30
3368,5003,7254548,1,Netherlands,Female,18-24
3369,5004,6752151,4,USA,Mixed Group,18-24
3370,5005,7964922,1,South Africa,,not specified
3371,5006,7813045,1,Brazil,,not specified
3372,5008,7157569,2,Ireland,Male,18-24
3373,5011,5897263,1,England,,not specified
3374,5012,5174650,1,USA,,not specified
3375,5013,5652412,6,England,,not specified
3376,5014,7827997,2,Greece,Mixed Group,18-24
3377,5015,9410928,2,China,,not specified
3378,5016,5247742,1,Ireland,,not specified
3379,5017,5020490,1,Germany,,not specified
3380,5018,5409525,3,England,Female,25-30
3381,5019,7705779,3,USA,,not specified
3382,5020,6643363,34,Colombia,Male,25-30
3383,5021,6545289,2,France,Couple,25-30
3384,5022,5455023,1,England,,not specified
3385,5023,7824980,3,USA,,not specified
3386,5024,9466940,1,Brazil,Male,18-24
3387,5025,7526308,1,Switzerland,,not specified
3388,5026,5420748,1,Sweden,,not specified
3389,5027,9579150,5,Singapore,Mixed Group,25-30
3390,5028,8949719,2,USA,,not specified
3391,5029,6599711,1,Denmark,,not specified
3392,5030,6232019,2,Brazil,Male,25-30
3393,5031,8879589,1,India,Male,41+
3394,5032,5591671,6,Denmark,Couple,31-40
3395,5033,5296556,1,Italy,,not specified
3396,5034,5400903,14,Switzerland,,not specified
3397,5035,8129172,3,India,,not specified
3398,5036,9861173,1,Germany,Male,25-30
3399,5037,6690046,2,Italy,,not specified
3400,5039,5098496,1,Italy,,not specified
3401,5041,6553741,3,Spain,,not specified
3402,5042,8488967,9,Brazil,,not specified
3403,5043,9703685,1,USA,Female,25-30
3404,5044,7418166,1,England,,not specified
3405,5046,9528802,1,Australia,,not specified
3406,5047,6399826,3,France,Female,25-30
3407,5050,6987911,4,Australia,,not specified
3408,5051,5127806,1,Australia,Female,25-30
3409,5053,8178756,1,Denmark,,not specified
3410,5054,8606266,25,England,Female,25-30
3411,5055,6760168,7,Australia,Mixed Group,18-24
3412,5058,5498499,8,Russia,Male,25-30
3413,5059,9035256,1,France,,not specified
3414,5060,5800503,2,Australia,Couple,25-30
3415,5061,9885155,3,USA,,not specified
3416,5063,8565295,1,Australia,,not specified
3417,5065,8011112,7,Spain,Male,31-40
3418,5066,9169889,2,USA,Male,41+
3419,5067,8484276,10,USA,,not specified
3420,5068,9837487,1,Spain,Female,41+
3421,5071,6954451,1,Wales,,not specified
3422,5072,9245809,1,Armenia,,not specified
3423,5074,9664566,1,Norway,,not specified
3424,5075,9231048,3,USA,Male,18-24
3425,5076,8211885,1,New Zealand,Male,31-40
3426,5077,5394979,1,Netherlands,,not specified
