,hostel_id,hostel
867,867,Porto Spot Hostel
868,868,Oporto Invictus Hostel
869,869,Hostel Baccarat
870,870,Hostal Atlanta
871,871,Hostel Smith
872,872,Orient Hostel
873,873,Alfama Patio Hostel
874,874,Liola' B&B Palermo
875,875,MINIMAL
876,876,Quechuas Inka Palace
877,877,La Posada del Kuraka
878,878,Pariwana Backpacker Hostels
879,879,Granada Inn Backpackers
880,880,MalagaLodge
881,881,Florentine Backpackers Hostel
882,882,U inn Berlin Hostel
883,883,Backpackers St. Pauli
884,884,My Home
885,885,Sultan Hostel
886,886,HI San Diego - Point Loma
887,887,Dink's Place Hostel
888,888,Touran Backpacker Hostel
889,889,Sophie's Hostel
890,890,Le Village Hostel Montmartre
891,891,Rivoli Cinema Hostel
892,892,Hostel Alamo
893,893,Ostello Bello Grande
894,894,Rancho Urbano
895,895,Hostel El Ovejero
896,896,Running Chaski Hostel
897,897,HI-Inka Pacha
898,898,Cozy Hostel
899,899,MB Backpackers
